stop_id,stop_name,stop_desc,stop_lat,stop_lon,stop_street,stop_city,stop_region,stop_postcode,stop_country,zone_id,stop_url
5935,"Plymouth (CR 61) & Sheffield Curve","Near side S",  44.952950, -93.441475,"Plymouth (CR 61)",MINNETONKA,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=5935
5938,"Plymouth (CR 61) & April Lane","Near side S",  44.947525, -93.441383,"Plymouth (CR 61)",MINNETONKA,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=5938
5939,"Plymouth (CR 61) & Rutledge Circ","Near side W",  44.944641, -93.443024,"Plymouth (CR 61)",MINNETONKA,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=5939
594,"CR B-2 & American St","Across from E",  45.014935, -93.171272,"CR B-2",ROSEVILLE,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=594
5940,"Plymouth (CR 61) & Rutledge Circ","Near side W",  44.944057, -93.444122,"Plymouth (CR 61)",MINNETONKA,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=5940
5941,"Plymouth (CR 61) & Bridge St","Near side W",  44.943439, -93.445503,"Plymouth (CR 61)",MINNETONKA,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=5941
5943,"Plymouth (CR 61) & McGinty Rd E","Near side S",  44.942200, -93.446823,"Plymouth (CR 61)",MINNETONKA,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=5943
5944,"Plymouth (CR 61) & Minnetonka Blv","Near side S",  44.941162, -93.446190,"Plymouth (CR 61)",MINNETONKA,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=5944
5945,"Minnetonka Blvd & CR 101","Near side W",  44.942081, -93.502167,"Minnetonka Blvd",MINNETONKA,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=5945
5946,"Minnetonka Blvd & Lowell St","Across from W",  44.942112, -93.504082,"Minnetonka Blvd",MINNETONKA,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=5946
5947,"Minnetonka Blvd & Leroy St","Across from W",  44.942139, -93.505341,"Minnetonka Blvd",MINNETONKA,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=5947
5948,"Minnetonka Blvd & Therese St","Across from W",  44.942158, -93.506630,"Minnetonka Blvd",MINNETONKA,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=5948
5949,"Minnetonka Blv & Shavers Lake Rd","Near side W",  44.942177, -93.509178,"Minnetonka Blv",DEEPHAVEN,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=5949
596,"Snelling E Svc Rd & Corp Center","Far side N",  45.021835, -93.163437,"Snelling E Svc Rd",ROSEVILLE,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=596
5966,"Minnetonka Blvd & Walden Trail","Far side W",  44.931225, -93.521057,"Minnetonka Blvd",DEEPHAVEN,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=5966
5967,"Minnetonka Blvd & Sibley Av","Near side S",  44.929966, -93.522446,"Minnetonka Blvd",DEEPHAVEN,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=5967
5968,"Minnetonka Blvd & Dale Av","Far side S",  44.929081, -93.522774,"Minnetonka Blvd",DEEPHAVEN,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=5968
5969,"Minnetonka Blvd & Circle Dr","Near side S",  44.927231, -93.523254,"Minnetonka Blvd",DEEPHAVEN,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=5969
5972,"Minnetonka Blvd & St James Gate","Near side W",  44.920753, -93.537300,"Minnetonka Blvd",DEEPHAVEN,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=5972
5973,"Minnetonka Blvd & Bayswater Rd","Across from W",  44.920597, -93.538269,"Minnetonka Blvd",DEEPHAVEN,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=5973
5974,"Minnetonka Blvd & Garden Rd","Across from W",  44.920483, -93.543259,"Minnetonka Blvd",DEEPHAVEN,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=5974
5975,"Minnetonka Bd & Lakeway Ter","Across from W",  44.920300, -93.544563,"Minnetonka Bd",SHOREWOOD,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=5975
5976,"Minnetonka Bd & Fatima/Linwood","Mid block W",  44.919594, -93.547020,"Minnetonka Bd",SHOREWOOD,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=5976
5978,"Minnetonka Blvd & Lodge Ln (N)","Near side S",  44.917885, -93.548836,"Minnetonka Blvd",GREENWOOD,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=5978
5980,"Minnetonka & Forest / St Albans","Mid block S",  44.913723, -93.548592,"Minnetonka",GREENWOOD,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=5980
5981,"Minnetonka Blv & Greenwood Circ","Across from W",  44.913456, -93.549934,"Minnetonka Blv",GREENWOOD,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=5981
5982,"Minnetonka Blv & Sleepy Hollow Rd","Near side W",  44.913406, -93.550858,"Minnetonka Blv",GREENWOOD,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=5982
5983,"Minnetonka Blvd & Pineview Court","Far side W",  44.912785, -93.553322,"Minnetonka Blvd",GREENWOOD,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=5983
5984,"Minnetonka Blvd & Curve St","Near side W",  44.912159, -93.554588,"Minnetonka Blvd",GREENWOOD,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=5984
5985,"Minnetonka Blvd & West St","Across from W",  44.911938, -93.555008,"Minnetonka Blvd",GREENWOOD,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=5985
5986,"Minnetonka Blvd & Meadville St","Near side S",  44.909252, -93.557991,"Minnetonka Blvd",GREENWOOD,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=5986
5987,"Minnetonka Blv & St Albans Boat","Far side S",  44.908272, -93.558510,"Minnetonka Blv",GREENWOOD,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=5987
5988,"Minnetonka Blvd & Excelsior Blvd","Near side S",  44.902882, -93.559189,"Minnetonka Blvd",EXCELSIOR,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=5988
5989,"Lake St & Morse Av","Near side W",  44.902283, -93.562775,"Lake St",EXCELSIOR,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=5989
599,"Portland Av S & 98 St E","Far side N",  44.826630, -93.268265,"Portland Av S",BLOOMINGTON,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=599
5990,"Lake St & Water St","Near side W",  44.904243, -93.565079,"Lake St",EXCELSIOR,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=5990
5991,"Water St & 2 St","Near side S",  44.903633, -93.566162,"Water St",EXCELSIOR,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=5991
5992,"Water St & 3 St","Far side S",  44.902161, -93.567551,"Water St",EXCELSIOR,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=5992
5993,"Water St & George St","Near side S",  44.901196, -93.568474,"Water St",EXCELSIOR,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=5993
5994,"Water St & Oak St (CR 19)","Near side S",  44.900040, -93.569542,"Water St",EXCELSIOR,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=5994
60,"Chicago Av S & 41 St E","Near side S",  44.928837, -93.262566,"Chicago Av S",MINNEAPOLIS,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=60
600,"Portland Av S & 96 St E","Near side N",  44.829792, -93.268234,"Portland Av S",BLOOMINGTON,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=600
6004,"Water St & George St","Near side N",  44.900898, -93.568573,"Water St",EXCELSIOR,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=6004
6005,"Water St & 3 St","Near side N",  44.902142, -93.567390,"Water St",EXCELSIOR,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=6005
6006,"Water St & 2 St","Far side N",  44.903576, -93.566048,"Water St",EXCELSIOR,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=6006
6009,"Minnetonka Blvd & Hidden Ln","Near side N",  44.903229, -93.559021,"Minnetonka Blvd",EXCELSIOR,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=6009
601,"Portland Av S & 95 St E","Near side N",  44.831604, -93.268227,"Portland Av S",BLOOMINGTON,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=601
