fare_id,price,currency_type,payment_method,transfers,transfer_duration
336,4.80,USD,1,,
337,4.80,USD,1,,
338,4.80,USD,1,,
339,4.80,USD,1,,
340,4.90,USD,1,,
341,4.95,USD,1,,
342,5.10,USD,1,,
343,5.20,USD,1,,
344,5.30,USD,1,,
345,9.95,USD,1,,
346,6.00,USD,1,,
347,6.80,USD,1,,
348,7.05,USD,1,,
349,5.75,USD,1,,
350,6.45,USD,1,,
351,5.30,USD,1,,
352,5.60,USD,1,,
353,10.60,USD,1,,
354,5.95,USD,1,,
355,5.15,USD,1,,
356,2.10,USD,1,,
357,2.10,USD,1,,
358,6.20,USD,1,,
359,2.10,USD,1,,
360,2.10,USD,1,,
361,2.10,USD,1,,
362,2.25,USD,1,,
363,2.45,USD,1,,
364,2.45,USD,1,,
365,2.45,USD,1,,
366,2.95,USD,1,,
367,3.30,USD,1,,
368,3.60,USD,1,,
369,3.85,USD,1,,
370,4.15,USD,1,,
371,4.45,USD,1,,
372,5.00,USD,1,,
373,5.35,USD,1,,
374,4.15,USD,1,,
375,5.35,USD,1,,
376,5.40,USD,1,,
377,4.85,USD,1,,
378,5.10,USD,1,,
379,4.65,USD,1,,
380,4.20,USD,1,,
381,4.05,USD,1,,
382,3.65,USD,1,,
383,3.15,USD,1,,
384,2.30,USD,1,,
385,2.65,USD,1,,
386,4.65,USD,1,,
387,4.65,USD,1,,
388,4.65,USD,1,,
389,4.65,USD,1,,
390,4.70,USD,1,,
391,4.75,USD,1,,
392,4.95,USD,1,,
393,5.00,USD,1,,
394,5.15,USD,1,,
395,9.75,USD,1,,
396,5.85,USD,1,,
397,6.60,USD,1,,
398,6.85,USD,1,,
399,5.60,USD,1,,
400,6.25,USD,1,,
401,5.10,USD,1,,
402,5.40,USD,1,,
403,10.40,USD,1,,
404,5.75,USD,1,,
405,4.95,USD,1,,
406,2.10,USD,1,,
407,2.10,USD,1,,
408,2.10,USD,1,,
409,6.20,USD,1,,
410,2.10,USD,1,,
411,2.10,USD,1,,
412,2.10,USD,1,,
413,2.10,USD,1,,
414,2.10,USD,1,,
415,2.10,USD,1,,
416,2.60,USD,1,,
417,2.95,USD,1,,
418,3.40,USD,1,,
419,3.65,USD,1,,
420,3.95,USD,1,,
421,4.25,USD,1,,
422,4.80,USD,1,,
423,5.15,USD,1,,
424,3.95,USD,1,,
425,5.15,USD,1,,
426,5.20,USD,1,,
427,4.65,USD,1,,
428,4.90,USD,1,,
429,4.45,USD,1,,
430,4.00,USD,1,,
431,3.85,USD,1,,
432,3.45,USD,1,,
433,2.80,USD,1,,
434,2.10,USD,1,,
435,2.30,USD,1,,
436,4.45,USD,1,,
437,4.45,USD,1,,
438,4.45,USD,1,,
439,4.45,USD,1,,
440,4.50,USD,1,,
441,4.55,USD,1,,
442,4.75,USD,1,,
443,4.80,USD,1,,
444,4.95,USD,1,,
445,9.45,USD,1,,
446,5.60,USD,1,,
447,6.40,USD,1,,
448,6.65,USD,1,,
449,5.40,USD,1,,
450,6.05,USD,1,,
451,5.05,USD,1,,
452,5.35,USD,1,,
453,10.30,USD,1,,
454,5.70,USD,1,,
455,4.90,USD,1,,
456,2.10,USD,1,,
457,2.10,USD,1,,
458,2.10,USD,1,,
459,2.10,USD,1,,
460,6.20,USD,1,,
461,2.10,USD,1,,
462,2.10,USD,1,,
463,2.10,USD,1,,
464,2.10,USD,1,,
465,2.10,USD,1,,
466,2.45,USD,1,,
467,2.80,USD,1,,
468,3.35,USD,1,,
469,3.60,USD,1,,
470,3.90,USD,1,,
471,4.20,USD,1,,
472,4.75,USD,1,,
473,5.10,USD,1,,
474,3.90,USD,1,,
475,5.10,USD,1,,
476,5.15,USD,1,,
477,4.60,USD,1,,
478,4.85,USD,1,,
479,4.35,USD,1,,
480,3.95,USD,1,,
481,3.75,USD,1,,
482,3.35,USD,1,,
483,2.70,USD,1,,
