route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_load_information,wheelchair_accessible,bikes_allowed
11,2022_02_14-SU-MVS-Sunday-25,1032848,Daly City,1,,1001696_shp,,1,1
12,2022_02_14-SU-MVS-Sunday-25,1032884,Dublin/Pleasanton,0,,1001744_shp,,1,1
11,2022_02_14-SU-MVS-Sunday-25,1032849,Daly City,1,,1001696_shp,,1,1
12,2022_02_14-SU-MVS-Sunday-25,1032885,Dublin/Pleasanton,0,,1001744_shp,,1,1
11,2022_02_14-SU-MVS-Sunday-25,1032845,Daly City,1,,1001696_shp,,1,1
12,2022_02_14-SU-MVS-Sunday-25,1032881,Dublin/Pleasanton,0,,1001744_shp,,1,1
11,2022_02_14-SU-MVS-Sunday-25,1032850,Daly City,1,,1001696_shp,,1,1
12,2022_02_14-SU-MVS-Sunday-25,1032886,Dublin/Pleasanton,0,,1001744_shp,,1,1
11,2022_02_14-SU-MVS-Sunday-25,1032842,Bay Fair,1,,1001672_shp,,1,1
12,2022_02_14-SU-MVS-Sunday-25,1032879,Dublin/Pleasanton,0,,1001740_shp,,1,1
3,2022_02_14-SU-MVS-Sunday-27,1061044,Richmond,0,,1001605_shp,,1,1
4,2022_02_14-SU-MVS-Sunday-27,1061079,Berryessa/North San Jose,1,,1001542_shp,,1,1
3,2022_02_14-SU-MVS-Sunday-27,1061043,Richmond,0,,1001612_shp,,1,1
4,2022_02_14-SU-MVS-Sunday-27,1061107,Berryessa/North San Jose,1,,1001614_shp,,0,0
3,2022_02_14-SU-MVS-Sunday-27,1061046,Richmond,0,,1001612_shp,,1,1
4,2022_02_14-SU-MVS-Sunday-27,1061104,Berryessa/North San Jose,1,,1001542_shp,,1,1
3,2022_02_14-SU-MVS-Sunday-27,1061047,Richmond,0,,1001612_shp,,1,1
4,2022_02_14-SU-MVS-Sunday-27,1061078,Berryessa/North San Jose,1,,1001542_shp,,1,1
3,2022_02_14-SU-MVS-Sunday-27,1061048,Richmond,0,,1001612_shp,,1,1
4,2022_02_14-SU-MVS-Sunday-27,1061081,Berryessa/North San Jose,1,,1001542_shp,,1,1
3,2022_02_14-SU-MVS-Sunday-27,1061049,Richmond,0,,1001612_shp,,1,1
4,2022_02_14-SU-MVS-Sunday-27,1061082,Berryessa/North San Jose,1,,1001542_shp,,1,1
3,2022_02_14-SU-MVS-Sunday-27,1061050,Richmond,0,,1001612_shp,,1,1
4,2022_02_14-SU-MVS-Sunday-27,1061083,Berryessa/North San Jose,1,,1001542_shp,,1,1
3,2022_02_14-SU-MVS-Sunday-27,1061051,Richmond,0,,1001612_shp,,1,1
4,2022_02_14-SU-MVS-Sunday-27,1061084,Berryessa/North San Jose,1,,1001542_shp,,1,1
3,2022_02_14-SU-MVS-Sunday-27,1061052,Richmond,0,,1001612_shp,,1,1
4,2022_02_14-SU-MVS-Sunday-27,1061085,Berryessa/North San Jose,1,,1001542_shp,,1,1
3,2022_02_14-SU-MVS-Sunday-27,1061053,Richmond,0,,1001612_shp,,1,1
4,2022_02_14-SU-MVS-Sunday-27,1061086,Berryessa/North San Jose,1,,1001542_shp,,1,1
3,2022_02_14-SU-MVS-Sunday-27,1061054,Richmond,0,,1001612_shp,,1,1
4,2022_02_14-SU-MVS-Sunday-27,1061087,Berryessa/North San Jose,1,,1001542_shp,,1,1
3,2022_02_14-SU-MVS-Sunday-27,1061055,Richmond,0,,1001612_shp,,1,1
4,2022_02_14-SU-MVS-Sunday-27,1061088,Berryessa/North San Jose,1,,1001542_shp,,1,1
3,2022_02_14-SU-MVS-Sunday-27,1061056,Richmond,0,,1001612_shp,,1,1
4,2022_02_14-SU-MVS-Sunday-27,1061089,Berryessa/North San Jose,1,,1001542_shp,,1,1
3,2022_02_14-SU-MVS-Sunday-27,1061057,Richmond,0,,1001612_shp,,1,1
4,2022_02_14-SU-MVS-Sunday-27,1061090,Berryessa/North San Jose,1,,1001542_shp,,1,1
3,2022_02_14-SU-MVS-Sunday-27,1061058,Richmond,0,,1001612_shp,,1,1
4,2022_02_14-SU-MVS-Sunday-27,1061091,Berryessa/North San Jose,1,,1001542_shp,,1,1
3,2022_02_14-SU-MVS-Sunday-27,1061059,Richmond,0,,1001612_shp,,1,1
4,2022_02_14-SU-MVS-Sunday-27,1061092,Berryessa/North San Jose,1,,1001542_shp,,1,1
3,2022_02_14-SU-MVS-Sunday-27,1061060,Richmond,0,,1001612_shp,,1,1
4,2022_02_14-SU-MVS-Sunday-27,1061093,Berryessa/North San Jose,1,,1001542_shp,,1,1
3,2022_02_14-SU-MVS-Sunday-27,1061061,Richmond,0,,1001612_shp,,1,1
4,2022_02_14-SU-MVS-Sunday-27,1061094,Berryessa/North San Jose,1,,1001542_shp,,1,1
3,2022_02_14-SU-MVS-Sunday-27,1061062,Richmond,0,,1001612_shp,,1,1
4,2022_02_14-SU-MVS-Sunday-27,1061095,Berryessa/North San Jose,1,,1001542_shp,,1,1
3,2022_02_14-SU-MVS-Sunday-27,1061063,Richmond,0,,1001612_shp,,1,1
4,2022_02_14-SU-MVS-Sunday-27,1061096,Berryessa/North San Jose,1,,1001542_shp,,1,1
3,2022_02_14-SU-MVS-Sunday-27,1061064,Richmond,0,,1001612_shp,,1,1
4,2022_02_14-SU-MVS-Sunday-27,1061097,Berryessa/North San Jose,1,,1001542_shp,,1,1
3,2022_02_14-SU-MVS-Sunday-27,1061066,Richmond,0,,1001612_shp,,1,1
4,2022_02_14-SU-MVS-Sunday-27,1061098,Berryessa/North San Jose,1,,1001542_shp,,1,1
3,2022_02_14-SU-MVS-Sunday-27,1061067,Richmond,0,,1001612_shp,,1,1
4,2022_02_14-SU-MVS-Sunday-27,1061099,Berryessa/North San Jose,1,,1001542_shp,,1,1
3,2022_02_14-SU-MVS-Sunday-27,1061068,Richmond,0,,1001612_shp,,1,1
4,2022_02_14-SU-MVS-Sunday-27,1061100,Berryessa/North San Jose,1,,1001542_shp,,1,1
3,2022_02_14-SU-MVS-Sunday-27,1061065,Richmond,0,,1001612_shp,,1,1
4,2022_02_14-SU-MVS-Sunday-27,1061101,Berryessa/North San Jose,1,,1001542_shp,,1,1
3,2022_02_14-SU-MVS-Sunday-27,1061069,Richmond,0,,1001612_shp,,1,1
4,2022_02_14-SU-MVS-Sunday-27,1061102,Berryessa/North San Jose,1,,1001542_shp,,1,1
3,2022_02_14-SU-MVS-Sunday-27,1061070,Richmond,0,,1001612_shp,,1,1
4,2022_02_14-SU-MVS-Sunday-27,1061103,Berryessa/North San Jose,1,,1001542_shp,,1,1
3,2022_02_14-SU-MVS-Sunday-27,1061071,Richmond,0,,1001612_shp,,1,1
4,2022_02_14-SU-MVS-Sunday-27,1061105,Berryessa/North San Jose,1,,1001542_shp,,1,1
3,2022_02_14-SU-MVS-Sunday-27,1061045,Richmond,0,,1001612_shp,,1,1
4,2022_02_14-SU-MVS-Sunday-27,1061106,Berryessa/North San Jose,1,,1001542_shp,,1,1
3,2022_02_14-SU-MVS-Sunday-27,1061072,Richmond,0,,1001612_shp,,1,1
4,2022_02_14-SU-MVS-Sunday-27,1061080,Berryessa/North San Jose,1,,1001542_shp,,1,1
3,2022_02_14-SU-MVS-Sunday-27,1061073,Richmond,0,,1001612_shp,,1,1
4,2022_02_14-SU-MVS-Sunday-27,1061108,Berryessa/North San Jose,1,,1001542_shp,,1,1
3,2022_02_14-SU-MVS-Sunday-27,1061074,Richmond,0,,1001612_shp,,1,1
4,2022_02_14-SU-MVS-Sunday-27,1061109,Berryessa/North San Jose,1,,1001542_shp,,1,1
3,2022_02_14-SU-MVS-Sunday-27,1061075,Richmond,0,,1001612_shp,,1,1
4,2022_02_14-SU-MVS-Sunday-27,1061110,Berryessa/North San Jose,1,,1001542_shp,,1,1
3,2022_02_14-SU-MVS-Sunday-27,1061076,Richmond,0,,1001612_shp,,1,1
4,2022_02_14-SU-MVS-Sunday-27,1061111,Berryessa/North San Jose,1,,1001542_shp,,1,1
3,2022_02_14-SU-MVS-Sunday-27,1061077,Richmond,0,,1001612_shp,,1,1
4,2022_02_14-SU-MVS-Sunday-27,1061112,Berryessa/North San Jose,1,,1001542_shp,,1,1
4,2022_02_14-SU-MVS-Sunday-27,1061113,Berryessa/North San Jose,1,,1001542_shp,,1,1
1,2022_02_14-SU-MVS-Sunday-27,1060973,San Francisco International Airport,1,,1060973_shp,,1,1
2,2022_02_14-SU-MVS-Sunday-27,1061008,Antioch,0,,1001350_shp,,1,1
1,2022_02_14-SU-MVS-Sunday-27,1060997,San Francisco International Airport,1,,1009378_shp,,1,1
2,2022_02_14-SU-MVS-Sunday-27,1061036,Antioch,0,,1001357_shp,,1,1
1,2022_02_14-SU-MVS-Sunday-27,1061000,San Francisco International Airport,1,,1009378_shp,,1,1
2,2022_02_14-SU-MVS-Sunday-27,1061009,Antioch,0,,1001357_shp,,1,1
1,2022_02_14-SU-MVS-Sunday-27,1060974,San Francisco International Airport,1,,1009378_shp,,1,1
2,2022_02_14-SU-MVS-Sunday-27,1061011,Antioch,0,,1001357_shp,,1,1
