stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
14983,,Orange Grove/Thornydale,W ORANGE GROVE RD & N THORNYDALE RD,32.323136,-111.043865,,,,,0
14984,,Thornydale/Horizon Hills Dr,N THORNYDALE RD & W HORIZON HILLS DR,32.330688,-111.046048,,,,,0
14985,,Orange Grove/Cmo de la Tierra,W ORANGE GROVE RD & N CMO DE LA TIERRA,32.323085,-111.037032,,,,,0
14988,,La Canada/Magee,N LA CANADA DR & W COOL DR,32.352251,-110.995567,,,,,0
14989,,Valle del Oro Rd/El Conquistador,N VALLE DEL ORO RD & E EL CONQUISTADOR WAY,32.387933,-110.966498,,,,,0
14991,,Innovation Mrkt Dr/Tangerine Rd,N INNOVATION MARKET DR,32.422988,-110.940692,,,,,0
14993,,Prince/Santa Rita,E PRINCE RD,32.272212,-110.953653,,,,,0
14994,,Campbell Av/Valencia,S CAMPBELL AVE & E VALENCIA RD,32.134608,-110.943354,,,,,0
14995,,Valencia/Campbell,E VALENCIA RD & S CAMPBELL AVE,32.133976,-110.942913,,,,,0
14996,,Littletown/Empire Vista,E LITTLETOWN RD & S EMPIRE VISTA DR,32.13423,-110.881004,,,,,0
14997,,Speedway/Electra,E SPEEDWAY BLVD & N KEESAL AVE,32.235607,-110.812073,,,,,0
14999,,Prince/680 W Prince,W PRINCE RD & N FAIRVIEW AVE,32.272075,-110.983497,,,,,0
15000,,Swan/17th St,S SWAN RD & E 17TH ST,32.213351,-110.892393,,,,,0
15001,,Swan/19th St,S SWAN RD & E 19TH ST,32.21013,-110.892416,,,,,0
15002,,Swan/Glenn,N SWAN RD & E GLENN ST,32.258257,-110.892428,,,,,0
15003,,Goret/Dales Crossing,W GORET RD & N DALES CROSSING DR,32.263556,-111.018848,,,,,0
15005,,Cardinal/Pajarito,S CARDINAL AVE & W C PAJARITO,32.127696,-111.02903,,,,,0
15006,,Komelic/Pantak,S KOMELIC DR & E LOS REALES RD,32.118396,-110.962965,,,,,0
15007,,Territory Dr/Kolb,E TERRITORY DR & N GRANADA AVE,32.305835,-110.844969,,,,,0
15008,,Skyline/Campbell,E SKYLINE DR,32.322574,-110.927948,,,,,0
15009,,Country Club/Michigan,S COUNTRY CLUB RD & E MICHIGAN ST,32.170092,-110.926323,,,,,0
15010,,Skyline/Campbell,E SKYLINE DR & E C CIPRES,32.322822,-110.93007,,,,,0
15011,,Swan/Fairmount,N SWAN RD & E FAIRMOUNT ST,32.240038,-110.892739,,,,,0
15013,,Swan/Sunrise Dr,N SWAN RD & E SUNRISE DR,32.307774,-110.892702,,,,,0
15014,,Cortaro Rd/Arizona Pavilions Dr,W ARIZONA PAVILLIONS DR & N ARIZONA PAVILLIONS DR,32.355611,-111.089694,,,,,0
15015,,River/Shannon,W RIVER RD & W RIVER RD,32.309764,-111.02888,,,,,0
15016,,Lambert/LaCanada,W LAMBERT LN & N LA CANADA DR,32.39523,-110.994861,,,,,0
15026,,Old Vail Rd Park & Ride,E OLD VAIL RD,32.091881,-110.782619,,,,,0
15047,,Tanque Verde/6445 Tanque Verde Rd,E TANQUE VERDE RD & N CMO SERNA,32.245182,-110.854659,,,,,0
15296,,Glenn/Cherry,E GLENN ST & N HIGHLAND AVE,32.257464,-110.948399,,,,,0
15587,,Sandario Rd/Grier Rd,N SANDARIO RD & W DENNY ST,32.454405,-111.216946,,,,,0
15679,,Grant/Alvernon,E GRANT RD & N HASKELL DR,32.250729,-110.910428,,,,,0
15925,,Rancho Vistoso/Pusch Mountain View,E RANCHO VISTOSO BLVD & N PUSCH MOUNTAIN VIEW LN,32.441468,-110.938846,,,,,0
15926,,Craycroft/20th St,S CRAYCROFT RD & E 19TH ST,32.209749,-110.875255,,,,,0
