stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id
"74430","","108TH AVE NE & NE 47TH PL","","47.6523132","-122.196365","19"
"74437","","NE 38TH PL & LK WASHINGTON BLVD NE","","47.6456451","-122.2006","19"
"74440","","108TH AVE NE & NE 45TH ST","","47.6499176","-122.196381","19"
"74441","","108TH AVE NE & NE 39TH ST","","47.6457138","-122.195068","19"
"74442","","108TH AVE NE & NE 38TH PL","","47.6442795","-122.194321","19"
"74444","","112TH AVE NE & NE 22ND ST","","47.630043","-122.19104","19"
"74446","","NORTHUP WAY & NE 30TH ST","","47.6367645","-122.190659","19"
"74447","","NORTHUP WAY & NE 30TH ST","","47.6373405","-122.191315","19"
"74448","","NORTHUP WAY & NE 33RD PL","","47.6407013","-122.194359","19"
"74449","","NORTHUP WAY & 120TH AVE NE","","47.6311531","-122.179413","19"
