route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
"100343","KCM","984","","Lakeside School to Downtown Seattle",3,"http://metro.kingcounty.gov/schedules/984/n0.html",,
"100344","KCM","986","","Houghton P&R to Lakeside School",3,"http://metro.kingcounty.gov/schedules/986/n0.html",,
"100341","KCM","982","","Bear Creek P&R to Lakeside School",3,"http://metro.kingcounty.gov/schedules/982/n0.html",,
"102555","KCM","893","","Totem Lake TC to Lake Washington High School",3,"http://metro.kingcounty.gov/schedules/893/n0.html",,
"102549","KCM","980","","Madison Valley to Lakeside School",3,"http://metro.kingcounty.gov/schedules/980/n0.html",,
"100285","KCM","889","","Cherry Crest Sammamish Highl International School",3,"http://metro.kingcounty.gov/schedules/889/n0.html",,
"102573","KCM","887","","Factoria to International School",3,"http://metro.kingcounty.gov/schedules/887/n0.html",,
"100350","KCM","994","","Downtown Seattle to Lakeside School",3,"http://metro.kingcounty.gov/schedules/994/n0.html",,
"100351","KCM","995","","Laurelhurst to Lakeside School",3,"http://metro.kingcounty.gov/schedules/995/n0.html",,
"100347","KCM","989","","Issaquah TC to Lakeside School",3,"http://metro.kingcounty.gov/schedules/989/n0.html",,
"100345","KCM","987","","Lakeside School to Rainier Beach",3,"http://metro.kingcounty.gov/schedules/987/n0.html",,
"100284","KCM","888","","Eastgate P&R Interlake High International School",3,"http://metro.kingcounty.gov/schedules/888/n0.html",,
"100473","KCM","981","","Lakeside School  Houghton P&R",3,"http://metro.kingcounty.gov/schedules/981/n0.html",,
"102628","KCM","895","","Overlake P&R to Lake Washington High School",3,"http://metro.kingcounty.gov/schedules/895/n0.html",,
"102623","KCM","894","","Mercer Island HS",3,"http://metro.kingcounty.gov/schedules/894/n0.html",,
"100288","KCM","892","","Mercer Island to Mercer Island High School",3,"http://metro.kingcounty.gov/schedules/892/n0.html",,
"100287","KCM","891","","Mercer Island to South Island to M.I. High School",3,"http://metro.kingcounty.gov/schedules/891/n0.html",,
"100349","KCM","992","","Summer School Eastside-Lakeside",3,"http://metro.kingcounty.gov/schedules/992/n0.html",,
"100346","KCM","988","","Madrona to Lakeside School",3,"http://metro.kingcounty.gov/schedules/988/n0.html",,
"100340","EOS","98","","South Lake Union Streetcar",0,"http://www.seattlestreetcar.org/slu.htm",,
"100479","ST","LINK","","LINK to Sea-Tac",0,"http://www.soundtransit.org/Schedules/ST-Express-Bus/599",,
"100336","KMD","973","","West Seattle Water Taxi - Boat Schedule",4,"",,
"100337","KMD","975","","Vashon Passenger-Only Ferry",4,"",,
"102548","KCM","B Line","","B-Line Rapid Ride",3,"http://metro.kingcounty.gov/schedules/672/n0.html",,
"102615","KCM","E Line","","Aurora Village to Downtown Seattle",3,"http://metro.kingcounty.gov/schedules/675/n0.html",,
"102581","KCM","D Line","","Seattle Blue Ridge to Crown Hill to Ballard to Sea",3,"http://metro.kingcounty.gov/schedules/674/n0.html",,
"100512","KCM","A Line","","Federal Way TC/Tukwila International Blvd Link Sta",3,"http://metro.kingcounty.gov/schedules/671/n0.html",,
"102619","KCM","F Line","","Burien/Tukwila Int'l Blvd Link Sta/Renton Landing",3,"http://metro.kingcounty.gov/schedules/676/n0.html",,
"102576","KCM","C Line","","Westwood Village to Fauntleroy Ferry to Alaska Jun",3,"http://metro.kingcounty.gov/schedules/673/n0.html",,
"102633","KCM","628","","N Bend Issaquah Highlands",3,"http://metro.kingcounty.gov/schedules/628/n0.html",,
"102636","KCM","631","","Burien Community Shuttle",3,"http://metro.kingcounty.gov/schedules/631/n0.html",,
"102634","KCM","630","","Mercer Island First Hill Downtown",3,"http://metro.kingcounty.gov/schedules/630/n0.html",,
"100071","KCM","18","","North Beach to Ballard to Downtown Seattle",3,"http://metro.kingcounty.gov/schedules/018/n0.html",,
"100018","KCM","12","","Interlaken Pk - First Hill - Downtown Sea",3,"http://metro.kingcounty.gov/schedules/012/n0.html",,
"100023","KCM","124","","Tukwila International Blvd Sta to Downtown Seattle",3,"http://metro.kingcounty.gov/schedules/124/n0.html",,
"100001","KCM","1","","Kinnear - Downtown Seattle",3,"http://metro.kingcounty.gov/schedules/001/n0.html",,
"100459","KCM","218","","Issaquah Hlnds Downtown",3,"http://metro.kingcounty.gov/schedules/218/n0.html",,
"100267","KCM","73","","Jackson Park to University District to CBD",3,"http://metro.kingcounty.gov/schedules/073/n0.html",,
"100269","KCM","75","","Northgate TC to Lake City to Sand Pt to U-District",3,"http://metro.kingcounty.gov/schedules/075/n0.html",,
"100254","KCM","65","","Lake City  to University District",3,"http://metro.kingcounty.gov/schedules/065/n0.html",,
"100072","KCM","181","","Twin Lakes P&R/Auburn Station/Green River CC",3,"http://metro.kingcounty.gov/schedules/181/n0.html",,
"100177","KCM","303","","Shoreline - NTC - First Hill",3,"http://metro.kingcounty.gov/schedules/303/n0.html",,
"100143","KCM","252","","Kingsgate to Downtown Seattle",3,"http://metro.kingcounty.gov/schedules/252/n0.html",,
"100259","KCM","67","","Northgate TC to Roosevelt to University District",3,"http://metro.kingcounty.gov/schedules/067/n0.html",,
"100262","KCM","688","","Center Park",3,"http://metro.kingcounty.gov/schedules/688/n0.html",,
"100271","KCM","77","","North City to Downtown Seattle",3,"http://metro.kingcounty.gov/schedules/077/n0.html",,
"100128","KCM","236","","Woodinville P&R to Kirkland TC",3,"http://metro.kingcounty.gov/schedules/236/n0.html",,
"100126","KCM","234","","Kenmore to Kirkland TC to Bellevue TC",3,"http://metro.kingcounty.gov/schedules/234/n0.html",,
