route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
10,1,10,E. 14th St. - Mission,,3,https://www.actransit.org/bus-lines-schedules/10,2B589C,FFFFFF
12,1,12,MLK Jr. - Temescal - Grand,,3,https://www.actransit.org/bus-lines-schedules/12,2B589C,FFFFFF
14,1,14,14th St - San Antonio - High St,,3,https://www.actransit.org/bus-lines-schedules/14,2B589C,FFFFFF
18,1,18,Solano - Shattuck - MLK Jr.,,3,https://www.actransit.org/bus-lines-schedules/18,2B589C,FFFFFF
19,1,19,Buena Vista - Fruitvale,,3,https://www.actransit.org/bus-lines-schedules/19,07B5D0,000000
1T,1,1T,Uptown Oakland\ San Leandro BART Southbound OWL,,3,https://www.actransit.org/bus-lines-schedules/1T,782B84,FFFFFF
20,1,20,Dimond - Fruitvale - South Shore,,3,https://www.actransit.org/bus-lines-schedules/20,07B5D0,000000
200,1,200,Decoto - Newark Blvd. - Mowry,,3,https://www.actransit.org/bus-lines-schedules/200,2B589C,FFFFFF
21,1,21,Dimond - Fruitvale - Bay Farm,,3,https://www.actransit.org/bus-lines-schedules/21,07B5D0,000000
210,1,210,Fremont Blvd. - Mission San Jose,,3,https://www.actransit.org/bus-lines-schedules/210,2B589C,FFFFFF
212,1,212,Fremont Blvd. - Pacific Commons,,3,https://www.actransit.org/bus-lines-schedules/212,2B589C,FFFFFF
215,1,215,Osgood - Warm Springs - Landing,,3,https://www.actransit.org/bus-lines-schedules/215,07B5D0,000000
216,1,216,Niles - Stevenson - NewPark,,3,https://www.actransit.org/bus-lines-schedules/216,07B5D0,000000
217,1,217,Mission San Jose - Milpitas,,3,https://www.actransit.org/bus-lines-schedules/217,2B589C,FFFFFF
232,1,232,Mission - Decoto - NewPark,,3,https://www.actransit.org/bus-lines-schedules/232,07B5D0,000000
239,1,239,Grimmer - Warm Springs,,3,https://www.actransit.org/bus-lines-schedules/239,07B5D0,000000
251,1,251,Paseo Padre - Thornton - Cherry,,3,https://www.actransit.org/bus-lines-schedules/251,07B5D0,000000
28,1,28,Alvarado - Castro Valley - B St.,,3,https://www.actransit.org/bus-lines-schedules/28,07B5D0,000000
29,1,29,Hollis - Peralta - Lakeshore,,3,https://www.actransit.org/bus-lines-schedules/29,2B589C,FFFFFF
33,1,33,Piedmont - Harrison - Park Blvd.,,3,https://www.actransit.org/bus-lines-schedules/33,2B589C,FFFFFF
34,1,34,Estudillo - Davis - Meekland,,3,https://www.actransit.org/bus-lines-schedules/34,07B5D0,000000
35,1,35,Estudillo - Davis -  Lewelling,,3,https://www.actransit.org/bus-lines-schedules/35,07B5D0,000000
36,1,36,Dwight - Shellmound - Adeline,,3,https://www.actransit.org/bus-lines-schedules/36,2B589C,FFFFFF
376,1,376,Cutting - North Richmond Nights,,3,https://www.actransit.org/bus-lines-schedules/376,BC8E2D,000000
39,1,39,Skyline - Dimond - Fruitvale,,3,https://www.actransit.org/bus-lines-schedules/39,07B5D0,000000
40,1,40,Foothill - Bancroft - Bay Fair,,3,https://www.actransit.org/bus-lines-schedules/40,A30D11,FFFFFF
41,1,41,Whitman - Huntwood - Union Landg,,3,https://www.actransit.org/bus-lines-schedules/41,07B5D0,000000
45,1,45,Seminary - Sobrante Park,,3,https://www.actransit.org/bus-lines-schedules/45,2B589C,FFFFFF
46L,1,46L,82nd Ave. - Grass Valley Limited,,3,https://www.actransit.org/bus-lines-schedules/46L,07B5D0,000000
51A,1,51A,Broadway - Santa Clara,,3,https://www.actransit.org/bus-lines-schedules/51A,A30D11,FFFFFF
51B,1,51B,University - College - Rockridge,,3,https://www.actransit.org/bus-lines-schedules/51B,A30D11,FFFFFF
52,1,52,UC Village - Cedar - UC Campus,,3,https://www.actransit.org/bus-lines-schedules/52,2B589C,FFFFFF
54,1,54,35th Ave. - Merritt College,,3,https://www.actransit.org/bus-lines-schedules/54,A30D11,FFFFFF
56,1,56,Santa Clara - Weekes - Huntwood,,3,https://www.actransit.org/bus-lines-schedules/56,07B5D0,000000
57,1,57,40th St. - MacArthur,,3,https://www.actransit.org/bus-lines-schedules/57,2B589C,FFFFFF
6,1,6,Berkeley - Telegraph - Oakland,,3,https://www.actransit.org/bus-lines-schedules/6,A30D11,FFFFFF
60,1,60,CSUEB - Southland - Chabot Coll,,3,https://www.actransit.org/bus-lines-schedules/60,07B5D0,000000
604,1,604,Head Royce - Hebrew Day - Berk.,,3,https://www.actransit.org/bus-lines-schedules/604,595959,FFFFFF
605,1,605,Head Royce - Montclair - College,,3,https://www.actransit.org/bus-lines-schedules/605,595959,FFFFFF
606,1,606,Head Royce - Piedmont,,3,https://www.actransit.org/bus-lines-schedules/606,595959,FFFFFF
607,1,607,Richmond High - Point Richmond,,3,https://www.actransit.org/bus-lines-schedules/607,595959,FFFFFF
611,1,611,Westlake Middle - 14th Ave.,,3,https://www.actransit.org/bus-lines-schedules/611,595959,FFFFFF
617,1,617,Skyline High - Seminary,,3,https://www.actransit.org/bus-lines-schedules/617,595959,FFFFFF
62,1,62,7th St. - San Antonio - 23rd Av.,,3,https://www.actransit.org/bus-lines-schedules/62,2B589C,FFFFFF
620,1,620,Newark Jr. High - Cedar,,3,https://www.actransit.org/bus-lines-schedules/620,595959,FFFFFF
621,1,621,American High - Thornton Jr.,,3,https://www.actransit.org/bus-lines-schedules/621,595959,FFFFFF
623,1,623,Irvington High - Horner Jr. High,,3,https://www.actransit.org/bus-lines-schedules/623,595959,FFFFFF
624,1,624,Mission San Jose - Hopkins Jr.,,3,https://www.actransit.org/bus-lines-schedules/624,595959,FFFFFF
625,1,625,Washington - Centerville Jr.,,3,https://www.actransit.org/bus-lines-schedules/625,595959,FFFFFF
626,1,626,Newark Memorial - Newark Blvd.,,3,https://www.actransit.org/bus-lines-schedules/626,595959,FFFFFF
628,1,628,Newark Memorial  - Cedar,,3,https://www.actransit.org/bus-lines-schedules/628,595959,FFFFFF
629,1,629,Newark Memorial - Cherry - Haley,,3,https://www.actransit.org/bus-lines-schedules/629,595959,FFFFFF
631,1,631,Encinal - Alameda - Bay Farm,,3,https://www.actransit.org/bus-lines-schedules/631,595959,FFFFFF
