trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
10135020,46L,3,"Coliseum BART",,0,113318802,shp-46L-51,0,0
5301010,72M,6,"Jack London Square",,0,112397801,shp-72M-60,0,0
2320020,79,3,"El Cerrito Plaza BART",,1,113464302,shp-79-07,0,0
4039020,6,3,"Downtown Oakland",,0,113462002,shp-6-59,0,0
13342070,210,14,"Ohlone College",,0,113079907,shp-210-07,0,0
7413010,800,6,"Richmond BART",,1,112706301,shp-800-83,0,0
4195020,97,3,"Bay Fair BART",,1,113366902,shp-97-10,0,0
1574020,73,20,"OAKLAND AIRPORT",,0,113312302,shp-73-51,0,0
1987070,72M,14,"Jack London Square",,0,112399507,shp-72M-60,0,0
2246020,99,3,"Fremont BART",,0,113366302,shp-99-09,0,0
6230070,216,14,"Silliman Center",,0,113076407,shp-216-62,0,0
2747010,19,6,"Downtown Oakland",,0,112713201,shp-19-64,0,0
3395020,18,3,"University Village, Albany",,1,113459902,shp-18-18,0,0
10377010,40,6,"Eastmont Transit Center",,0,112331401,shp-40-60,0,0
7776070,73,14,"OAKLAND AIRPORT",,0,112315907,shp-73-51,0,0
2528020,51A,3,"Rockridge BART",,1,113313502,shp-51A-17,0,0
7508020,60,3,"South Hayward BART",,0,113375102,shp-60-56,0,0
1905010,97,6,"Bay Fair BART",,1,113064601,shp-97-10,0,0
6604020,78,3,"Fruitvale BART",,1,113319202,shp-78-04,0,0
6313070,6,14,"Downtown Oakland",,0,112922807,shp-6-59,0,0
3747020,72,3,"Hilltop Mall",,1,113444002,shp-72-28,0,0
3243070,72R,14,"Contra Costa College",,1,112401207,shp-72R-12,0,0
1461020,54,3,"Fruitvale BART",,0,113318602,shp-54-53,0,0
10142010,51B,6,"Rockridge BART",,0,112706601,shp-51B-17,0,0
13396020,57,3,"Foothill Square",,1,113465402,shp-57-11,0,0
5368020,51A,3,"Fruitvale BART",,0,113312202,shp-51A-55,0,0
2432070,6,14,"Downtown Oakland",,0,112922707,shp-6-59,0,0
10321010,1T,6,"Uptown Oakland",,1,112328301,shp-1T-05,0,0
7461020,210,3,"Ohlone College",,0,113372302,shp-210-07,0,0
6900020,18,3,"Lake Merritt BART",,0,113459902,shp-18-62,0,0
9975020,74,3,"Castro Ranch Road",,1,113449602,shp-74-01,0,0
10767010,210,6,"Union Landing Transit Center",,1,113069001,shp-210-08,0,0
4875070,51A,14,"Fruitvale BART",,0,112323007,shp-51A-55,0,0
757010,12,6,"Northwest Berkeley",,1,112706401,shp-12-14,0,0
2745070,51B,14,"Rockridge BART",,0,112701107,shp-51B-16,0,0
12567020,88,3,"Downtown Berkeley",,1,113454202,shp-88-07,0,0
8129070,51B,14,"Rockridge BART",,0,112703207,shp-51B-17,0,0
2993010,12,6,"Northwest Berkeley",,1,112710601,shp-12-14,0,0
8460020,OX,3,"San Francisco",,0,113321402,shp-OX-53,0,0
12394010,1T,6,"San Leandro BART",,0,112329101,shp-1T-51,0,0
5777010,10,6,"Hayward BART",,0,113065001,shp-10-10,0,0
9168070,1T,14,"Uptown Oakland",,1,112321807,shp-1T-05,0,0
4526010,10,6,"Hayward BART",,0,113068401,shp-10-10,0,0
9063010,801,6,"Fremont BART",,0,113063101,shp-801-62,0,0
6803010,51A,6,"Fruitvale BART",,0,112325401,shp-51A-55,0,0
11178010,20,6,"Dimond District",,1,112718501,shp-20-18,0,0
4519020,40,3,"Eastmont Transit Center",,0,113324102,shp-40-61,0,0
7963070,90,14,"Coliseum BART",,0,112317207,shp-90-54,0,0
13029020,86,3,"South Hayward BART",,0,113365102,shp-86-51,0,0
11885010,12,6,"Northwest Berkeley",,1,112706401,shp-12-14,0,0
5566010,57,6,"Foothill Square",,1,112920301,shp-57-10,0,0
11075070,F,14,"San Francisco",,0,112699407,shp-F-23,0,0
8256070,33,14,"Montclair",,1,112923807,shp-33-14,0,0
9437070,57,14,"Public Market Emeryville",,0,112922007,shp-57-63,0,0
70020,210,3,"Union Landing Transit Center",,1,113366702,shp-210-08,0,0
11286020,98,3,"Eastmont Transit Center",,1,113242202,shp-98-02,0,0
4018020,212,3,"Fremont BART",,1,113375802,shp-212-07,0,0
3013010,19,6,"Downtown Oakland",,0,112713201,shp-19-64,0,0
9335020,86,3,"Hayward BART",,1,113365502,shp-86-01,0,0
1899070,95,14,"Hayward BART",,0,113074607,shp-95-53,0,0
13841020,14,3,"West Oakland BART",,0,113313702,shp-14-59,0,0
4069010,6,6,"Downtown Berkeley",,1,112921201,shp-6-14,0,0
10228020,51A,20,"Fruitvale BART",,0,113322602,shp-51A-55,0,0
12661010,52,6,"U.C. Campus",,0,112711701,shp-52-60,0,0
13861070,200,14,"Fremont BART",,0,113079607,shp-200-60,0,0
2857020,18,3,"Lake Merritt BART",,0,113459902,shp-18-62,0,0
2790010,O,6,"Fruitvale BART",,1,112326801,shp-O-03,0,0
1583070,98,14,"Eastmont Transit Center",,1,112317107,shp-98-02,0,0
10990010,51B,6,"Berkeley Amtrak",,1,112708701,shp-51B-14,0,0
12561020,212,3,"Pacific Commons",,0,113375902,shp-212-57,0,0
7451070,97,14,"Bay Fair BART",,1,113075907,shp-97-10,0,0
13566020,40,3,"Downtown Oakland",,1,113314102,shp-40-16,0,0
7506070,805,14,"Uptown Oakland",,0,112317607,shp-805-60,0,0
5713020,10,3,"San Leandro BART",,1,113368402,shp-10-09,0,0
9548070,98,14,"Eastmont Transit Center",,1,112319507,shp-98-02,0,0
4268020,93,3,"Bay Fair BART",,1,113374802,shp-93-09,0,0
9797100,376,17,"Fitzgerald Drive, Pinole",,1,113447510,shp-376-09,0,0
8552070,72R,14,"Jack London Square",,0,112402607,shp-72R-57,0,0
5970010,51B,6,"Berkeley Amtrak",,1,112708701,shp-51B-14,0,0
2272010,NL,6,"San Francisco",,0,112324901,shp-NL-57,0,0
8597020,376,3,"Fitzgerald Drive, Pinole",,1,113447202,shp-376-09,0,0
2630010,62,6,"FRUITVALE BART",,1,112329901,shp-62-05,0,0
342070,1T,14,"Uptown Oakland",,1,112321307,shp-1T-05,0,0
11462020,72R,3,"Contra Costa College",,1,113444502,shp-72R-12,0,0
13910010,10,6,"Hayward BART",,0,113065601,shp-10-10,0,0
961020,51A,20,"Fruitvale BART",,0,113322602,shp-51A-55,0,0
6434070,51B,14,"Rockridge BART",,0,112699007,shp-51B-17,0,0
1567100,O,25,"Fruitvale BART",,1,113327210,shp-O-03,0,0
7022070,99,14,"Fremont BART",,0,113076207,shp-99-09,0,0
9151010,51A,6,"Rockridge BART",,1,112327101,shp-51A-17,0,0
628070,36,14,"West Oakland BART",,0,112702507,shp-36-09,0,0
10270020,6,3,"Downtown Berkeley",,1,113461502,shp-6-14,0,0
10815010,210,6,"Union Landing Transit Center",,1,113066301,shp-210-08,0,0
2619020,57,3,"Public Market Emeryville",,0,113465302,shp-57-62,0,0
3576020,NX3,3,"San Francisco",,0,113321702,shp-NX3-07,0,0
9510010,19,6,"Downtown Oakland",,0,112710501,shp-19-64,0,0
11236070,18,14,"University Village, Albany",,1,112925707,shp-18-18,0,0
7228010,1T,6,"San Leandro BART",,0,112329001,shp-1T-51,0,0
10478070,90,14,"Coliseum BART",,0,112317307,shp-90-54,0,0
6443070,12,14,"Northwest Berkeley",,1,112703007,shp-12-14,0,0
10159070,O,14,"Fruitvale BART",,1,112319807,shp-O-03,0,0
10873010,210,6,"Ohlone College",,0,113071401,shp-210-07,0,0
1814010,1T,6,"Uptown Oakland",,1,112327901,shp-1T-05,0,0
3898010,12,6,"Oakland Amtrak at Jack London Square",,0,112712501,shp-12-56,0,0
11519020,14,3,"Fruitvale BART",,1,113317602,shp-14-15,0,0
11138070,40,14,"Downtown Oakland",,1,112318907,shp-40-17,0,0
3042070,212,14,"Fremont BART",,1,113078207,shp-212-07,0,0
1423010,200,6,"Union City BART",,1,113070501,shp-200-15,0,0
2951070,72M,14,"Point Richmond",,1,112399507,shp-72M-39,0,0
8760020,97,3,"Union City BART",,0,113368802,shp-97-57,0,0
14056070,51B,14,"Rockridge BART",,0,112705707,shp-51B-17,0,0
9595010,6,6,"Downtown Oakland",,0,112920901,shp-6-59,0,0
11413020,54,3,"Merritt College",,1,113317502,shp-54-03,0,0
9686070,33,14,"Piedmont",,0,112923907,shp-33-68,0,0
5008010,74,6,"Harbour Way South & Ford Point",,0,112398001,shp-74-56,0,0
7587020,79,3,"El Cerrito Plaza BART",,1,113464302,shp-79-07,0,0
4942010,36,6,"U.C. Campus",,1,112710901,shp-36-08,0,0
