route_id,service_id,trip_id,trip_headsign,direction_id,direction_name,block_id,shape_id,wheelchair_accessible,trip_bikes_allowed,trip_headsign_short
27,76280-1111100-0,16190379,"Pacific Beach",1,West,902701,27_3_82,1,2,Pac Bch
27,76280-1111100-0,16190410,"Pacific Beach",1,West,902703,27_3_82,1,2,Pac Bch
27,76280-1111100-0,16190395,"Pacific Beach",1,West,902702,27_3_82,1,2,Pac Bch
27,76280-1111100-0,16190426,"Pacific Beach",1,West,902704,27_3_82,1,2,Pac Bch
27,76280-1111100-0,16190381,"Pacific Beach",1,West,902701,27_3_82,1,2,Pac Bch
27,76280-1111100-0,16190412,"Pacific Beach",1,West,902703,27_3_82,1,2,Pac Bch
27,76280-1111100-0,16190397,"Pacific Beach",1,West,902702,27_3_82,1,2,Pac Bch
27,76280-1111100-0,16190428,"Pacific Beach",1,West,902704,27_3_82,1,2,Pac Bch
27,76280-1111100-0,16190383,"Pacific Beach",1,West,902701,27_3_82,1,2,Pac Bch
27,76280-1111100-0,16190414,"Pacific Beach",1,West,902703,27_3_82,1,2,Pac Bch
27,76280-1111100-0,16190399,"Pacific Beach",1,West,902702,27_3_82,1,2,Pac Bch
27,76280-1111100-0,16190430,"Pacific Beach",1,West,902704,27_3_82,1,2,Pac Bch
27,76280-1111100-0,16190385,"Pacific Beach",1,West,902701,27_3_82,1,2,Pac Bch
27,76280-1111100-0,16190416,"Pacific Beach",1,West,902703,27_3_82,1,2,Pac Bch
27,76280-1111100-0,16190401,"Pacific Beach",1,West,902702,27_3_82,1,2,Pac Bch
27,76280-1111100-0,16190432,"Pacific Beach",1,West,902704,27_3_82,1,2,Pac Bch
28,76280-1111100-0,16190434,"Old Town",0,East,902801,28_2_48,1,2,Old Twn
28,76280-1111100-0,16190469,"Old Town",0,East,902802,28_2_48,1,2,Old Twn
28,76280-1111100-0,16190436,"Old Town",0,East,902801,28_2_48,1,2,Old Twn
28,76280-1111100-0,16190503,"Old Town",0,East,902803,28_2_48,1,2,Old Twn
28,76280-1111100-0,16190471,"Old Town",0,East,902802,28_2_48,1,2,Old Twn
28,76280-1111100-0,16190508,"Old Town",0,East,902804,28_2_48,1,2,Old Twn
