trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_booking_rule_id,drop_off_booking_rule_id,start_pickup_dropoff_window,end_pickup_dropoff_window,mean_duration_factor,mean_duration_offset,safe_duration_factor,safe_duration_offset,tts_stop_headsign,min_arrival_time,max_departure_time
552,05:18:00,05:18:00,70012,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
552,05:23:00,05:23:00,70022,2,,0,0,2521.94934933267,1,,,,,1,1,,,,,,,,,,,
552,05:36:00,05:36:00,70062,3,,0,0,21728.6115866673,1,,,,,1,1,,,,,,,,,,,
552,05:43:00,05:43:00,70092,4,,0,0,28346.4818839867,1,,,,,1,1,,,,,,,,,,,
552,05:48:00,05:48:00,70112,5,,0,0,31850.7333409382,1,,,,,1,1,,,,,,,,,,,
552,05:55:00,05:55:00,70142,6,,0,0,40660.977397,1,,,,,1,1,,,,,,,,,,,
552,06:01:00,06:01:00,70162,7,,0,0,46264.2386276175,1,,,,,1,1,,,,,,,,,,,
552,06:05:00,06:05:00,70172,8,,0,0,48275.6209423062,1,,,,,1,1,,,,,,,,,,,
552,06:12:00,06:12:00,70212,9,,0,0,57873.6031250002,1,,,,,1,1,,,,,,,,,,,
552,06:18:00,06:18:00,70222,10,,0,0,62190.6877478347,1,,,,,1,1,,,,,,,,,,,
552,06:25:00,06:25:00,70242,11,,0,0,71265.8687246553,1,,,,,1,1,,,,,,,,,,,
552,06:31:00,06:31:00,70262,12,,0,0,75421.08663055,1,,,,,1,1,,,,,,,,,,,
151,04:22:00,04:22:00,70271,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
151,04:28:00,04:28:00,70261,2,,0,0,2898.26431637197,1,,,,,1,1,,,,,,,,,,,
151,04:34:00,04:34:00,70241,3,,0,0,7055.196573615,1,,,,,1,1,,,,,,,,,,,
151,04:40:00,04:40:00,70231,4,,0,0,12942.9037995525,1,,,,,1,1,,,,,,,,,,,
151,04:44:00,04:44:00,70221,5,,0,0,16130.7439787489,1,,,,,1,1,,,,,,,,,,,
151,04:49:00,04:49:00,70211,6,,0,0,20441.5574996149,1,,,,,1,1,,,,,,,,,,,
151,04:53:00,04:53:00,70201,7,,0,0,23549.0482704972,1,,,,,1,1,,,,,,,,,,,
151,04:57:00,04:57:00,70191,8,,0,0,27489.6035877303,1,,,,,1,1,,,,,,,,,,,
151,05:01:00,05:01:00,70171,9,,0,0,30037.5499071783,1,,,,,1,1,,,,,,,,,,,
151,05:04:00,05:04:00,70161,10,,0,0,32053.0413461094,1,,,,,1,1,,,,,,,,,,,
151,05:10:00,05:10:00,70141,11,,0,0,37656.5615596196,1,,,,,1,1,,,,,,,,,,,
151,05:15:00,05:15:00,70131,12,,0,0,41151.0961900242,1,,,,,1,1,,,,,,,,,,,
151,05:18:00,05:18:00,70121,13,,0,0,43136.6165744226,1,,,,,1,1,,,,,,,,,,,
151,05:22:00,05:22:00,70111,14,,0,0,46473.2475824428,1,,,,,1,1,,,,,,,,,,,
151,05:25:00,05:25:00,70101,15,,0,0,47820.7569977154,1,,,,,1,1,,,,,,,,,,,
151,05:28:00,05:28:00,70091,16,,0,0,49958.4860954787,1,,,,,1,1,,,,,,,,,,,
